,level_0,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,median_price,status,x% lower,estimate_profit,estimate_profit%,x%_lower,hypothesis
48,48,3031200120,2014-11-18,255000.0,4,1.75,960,8863,1.0,0,0,5,6,580.0,380,1949,0,98118,47.5372,-122.289,1720,8249,307065.792,Buy_SRP,34.527248218756014,52065.792000000016,20.4,17.0,H8
49,49,7338401230,2014-08-28,285000.0,3,1.75,1020,5000,1.0,0,0,5,6,1020.0,0,1954,0,98118,47.5332,-122.29,1360,5000,317107.404,Buy,26.824571538609664,32107.40399999998,11.3,10.1,H8
50,50,7129302615,2015-03-04,292000.0,3,1.75,1090,4500,1.5,0,0,5,8,1090.0,0,1929,0,98118,47.5157,-122.256,1640,5225,328822.618,Buy,25.027280313242183,36822.61800000002,12.6,11.2,H8
51,51,7562100065,2014-07-25,260000.0,3,2.0,1170,5450,1.0,0,0,5,6,1170.0,0,1902,0,98118,47.5276,-122.273,1340,6384,342211.434,Buy_SRP,33.24346877206496,82211.43400000001,31.6,24.0,H8
52,52,3419600125,2014-07-01,245000.0,3,2.0,1190,4072,1.5,0,0,5,6,1190.0,0,1907,0,98118,47.5276,-122.274,1680,5850,345558.638,Buy_SRP,37.09480711213814,100558.63799999998,41.0,29.1,H8
53,53,7129303180,2014-10-02,310000.0,3,2.0,1290,6150,1.0,0,1,5,6,1290.0,0,1950,0,98118,47.5181,-122.257,1960,6150,362294.658,Buy,20.405674305154374,52294.657999999996,16.9,14.4,H8
54,54,3904100220,2014-12-09,276000.0,2,2.0,1480,6075,1.0,0,0,5,7,740.0,740,1919,0,98118,47.5317,-122.276,1230,6053,394093.096,Buy_SRP,29.13537454265357,118093.09600000002,42.8,30.0,H8
55,55,323049148,2014-12-19,319000.0,3,2.0,1640,9234,1.0,0,0,5,7,1060.0,580,1967,0,98118,47.5162,-122.274,2230,10354,420870.728,Buy,18.094871301110473,101870.728,31.9,24.2,H8
56,56,2589300065,2014-09-16,329900.0,3,1.75,1670,5209,1.5,0,0,5,7,1670.0,0,1908,0,98118,47.5362,-122.271,1990,4960,425891.534,Buy,15.29623210732396,95991.53399999999,29.1,22.5,H8
57,57,8113101000,2014-07-22,336000.0,4,1.0,1780,4310,1.5,0,0,5,6,1780.0,0,1919,0,98118,47.5486,-122.278,1460,4310,444301.15599999996,Buy,13.730021182360874,108301.15599999996,32.2,24.4,H8
58,58,6882510020,2014-07-15,340000.0,4,1.75,1800,5210,1.0,0,0,5,7,1080.0,720,1979,0,98118,47.5298,-122.28,1870,5365,447648.36,Buy,12.702997625008027,107648.35999999999,31.7,24.0,H8
59,59,6882510060,2014-08-25,365000.0,4,2.5,1800,5070,1.0,0,0,5,7,1080.0,720,1979,0,98118,47.5303,-122.28,1870,5365,447648.36,Buy,6.284100391552727,82648.35999999999,22.6,18.5,H8
60,60,3812400107,2015-03-30,378500.0,4,2.0,1830,6000,1.0,0,0,5,7,1070.0,760,1953,0,98118,47.5453,-122.279,1830,5500,452669.16599999997,Buy,2.8178958854868763,74169.16599999997,19.6,16.4,H8
61,61,3336001470,2014-06-19,311000.0,3,1.75,1900,3000,1.5,0,0,5,7,1070.0,830,1903,0,98118,47.5255,-122.265,1130,6000,464384.38,Buy,20.148918415816162,153384.38,49.3,33.0,H8
62,62,3333002302,2015-02-13,428000.0,4,2.5,1950,5602,1.0,0,0,5,7,1120.0,830,1966,0,98118,47.5437,-122.291,2000,6050,472752.38999999996,Not Buy,0.0,44752.389999999956,10.5,9.5,H8
63,63,3524049083,2014-11-04,445000.0,4,1.75,2100,4400,1.5,0,0,5,7,1720.0,380,1924,0,98118,47.5299,-122.266,1850,4400,497856.42,Not Buy,0.0,52856.419999999984,11.9,10.6,H8
64,64,2123700100,2014-12-02,353000.0,5,2.75,2130,5000,1.0,0,0,5,7,1100.0,1030,1978,0,98118,47.5271,-122.274,1340,6837,502877.22599999997,Buy,9.365171063611266,149877.22599999997,42.5,29.8,H8
65,65,6607000126,2014-06-04,375000.0,4,1.75,2200,7475,1.0,0,0,5,7,1100.0,1100,1955,0,98118,47.543,-122.28,1600,5766,514592.44,Buy,3.7165414981706113,139592.44,37.2,27.1,H8
66,66,4109600195,2014-07-18,524000.0,4,2.75,2310,5000,1.5,0,0,5,8,1480.0,830,1908,0,98118,47.5502,-122.268,1100,5000,533002.0619999999,Not Buy,0.0,9002.061999999918,1.7,1.7,H8
67,67,7129304225,2015-01-08,305000.0,4,2.25,2340,5250,2.0,0,0,5,7,2340.0,0,1965,0,98118,47.5183,-122.266,1540,5250,538022.868,Buy,21.689453751845434,233022.86800000002,76.4,43.3,H8
68,68,3812400898,2014-09-09,399950.0,5,2.0,2760,6420,1.0,0,0,5,7,1380.0,1380,1964,0,98118,47.5396,-122.276,1400,7112,608314.152,Not Buy,0.0,208364.152,52.1,34.3,H8
69,69,4109600055,2014-12-29,614000.0,5,2.5,3150,5150,2.0,0,0,5,8,1870.0,1280,1907,2004,98118,47.5506,-122.269,1550,5150,673584.63,Not Buy,0.0,59584.630000000005,9.7,8.8,H8
70,70,427000065,2015-01-26,537500.0,5,2.5,4340,9108,1.0,0,0,5,8,2170.0,2170,1979,0,98118,47.5384,-122.276,2030,6812,872743.2679999999,Not Buy,0.0,335243.2679999999,62.4,38.4,H8
71,71,123039424,2014-07-10,303000.0,2,2.0,970,9750,1.0,0,0,5,6,970.0,0,1940,0,98146,47.5073,-122.372,1850,9000,308739.394,Buy,15.833333333333332,5739.393999999971,1.9,1.9,H8
72,72,7889600080,2015-02-19,208000.0,3,1.0,1050,6240,1.0,0,0,5,5,1050.0,0,1948,0,98146,47.4933,-122.338,1410,6240,322128.20999999996,Buy_SRP,42.22222222222223,114128.20999999996,54.9,35.4,H8
73,73,7907600100,2015-04-21,287500.0,4,2.0,1220,9147,1.0,0,0,5,7,1220.0,0,1953,0,98146,47.5011,-122.336,1220,8576,350579.444,Buy,20.138888888888886,63079.44400000002,21.9,18.0,H8
74,74,2458400345,2014-10-28,340000.0,3,2.0,1420,6060,1.0,0,0,5,7,830.0,590,1942,0,98146,47.5102,-122.372,1420,6360,384051.484,Buy,5.555555555555558,44051.484,13.0,11.5,H8
75,75,6303400520,2015-01-27,265000.0,2,2.0,1650,8975,1.0,0,0,5,6,1650.0,0,1942,0,98146,47.5073,-122.36,1260,8668,422544.32999999996,Buy,26.388888888888886,157544.32999999996,59.5,37.3,H8
76,76,254000075,2014-05-19,368000.0,2,1.5,1660,4680,1.0,0,0,5,6,830.0,830,1908,0,98146,47.5134,-122.388,1930,5400,424217.932,Not Buy,0.0,56217.93199999997,15.3,13.3,H8
77,77,84000335,2014-06-26,225000.0,3,2.0,1700,11475,1.0,0,0,5,6,970.0,730,1945,0,98146,47.4851,-122.338,1560,11475,430912.33999999997,Buy_SRP,37.5,205912.33999999997,91.5,47.8,H8
78,78,2895600350,2014-11-03,375000.0,3,1.0,1780,5236,1.5,0,0,5,6,1050.0,730,1944,0,98146,47.5119,-122.386,1260,5320,444301.15599999996,Not Buy,0.0,69301.15599999996,18.5,15.6,H8
79,79,1591600307,2015-05-11,360000.0,3,1.75,1810,7200,1.0,0,0,5,7,1030.0,780,1959,0,98146,47.4993,-122.364,1950,8384,449321.962,Buy,0.0,89321.962,24.8,19.9,H8
80,80,2518400046,2014-11-18,456700.0,3,1.75,2820,8879,1.0,0,0,5,7,1540.0,1280,1920,1957,98146,47.5094,-122.376,1640,7850,618355.764,Not Buy,0.0,161655.76399999997,35.4,26.1,H8
81,81,5119010090,2014-05-10,549900.0,5,2.75,3060,7015,1.0,0,0,5,8,1600.0,1460,1979,0,98146,47.5052,-122.372,2190,7600,658522.212,Not Buy,0.0,108622.21200000006,19.8,16.5,H8
82,82,7883608693,2014-06-27,191000.0,2,1.0,900,3400,1.0,0,0,5,6,900.0,0,1905,0,98108,47.5269,-122.314,940,6000,297024.18,Buy_SRP,54.95283018867924,106024.18,55.5,35.7,H8
83,83,7857000900,2014-07-24,353000.0,3,1.75,1260,11775,1.0,0,0,5,6,1260.0,0,1942,0,98108,47.5501,-122.296,1270,5480,357273.85199999996,Buy,16.74528301886793,4273.851999999955,1.2,1.2,H8
84,84,7549802600,2014-05-28,335000.0,4,2.0,1480,3132,1.0,0,0,5,6,740.0,740,1910,0,98108,47.55,-122.312,1480,6420,394093.096,Buy,20.990566037735846,59093.09600000002,17.6,15.0,H8
85,85,7338402160,2014-10-09,349950.0,4,1.75,1780,5000,1.0,0,0,5,7,890.0,890,1903,0,98108,47.5329,-122.292,1860,5000,444301.15599999996,Buy,17.46462264150943,94351.15599999996,27.0,21.2,H8
86,86,2741100741,2014-06-04,411715.0,3,1.75,1840,5101,1.0,0,0,5,7,1040.0,800,1952,0,98108,47.5585,-122.317,1340,5000,454342.768,Buy,2.8974056603773612,42627.76799999998,10.4,9.4,H8
87,87,2741100280,2014-05-13,415000.0,3,1.75,1960,5000,1.0,0,0,5,6,980.0,980,1911,0,98108,47.5576,-122.317,1790,5000,474425.99199999997,Buy,2.1226415094339646,59425.99199999997,14.3,12.5,H8
88,88,3959401880,2014-08-20,395000.0,2,2.0,1960,4018,1.0,0,0,5,7,980.0,980,1950,0,98108,47.5629,-122.32,1240,4641,474425.99199999997,Buy,6.839622641509435,79425.99199999997,20.1,16.7,H8
89,89,7549802535,2014-11-11,423000.0,4,2.0,1970,6480,1.5,0,0,5,7,1130.0,840,1920,0,98108,47.5511,-122.312,1500,6480,476099.594,Buy,0.2358490566037763,53099.59399999998,12.6,11.2,H8
90,90,2734100065,2014-06-12,445000.0,5,1.75,2460,6846,1.5,0,0,5,7,1340.0,1120,1911,0,98108,47.5445,-122.321,1410,4800,558106.092,Not Buy,0.0,113106.09199999995,25.4,20.3,H8
91,91,3959400855,2014-08-20,525000.0,4,2.75,2470,7200,1.0,0,0,5,7,1350.0,1120,1940,0,98108,47.5631,-122.317,1500,6000,559779.6939999999,Not Buy,0.0,34779.6939999999,6.6,6.2,H8
92,92,3677400445,2014-09-02,475000.0,3,1.5,2480,5280,1.5,0,0,5,7,1620.0,860,1947,0,98108,47.5575,-122.303,2090,4800,561453.296,Not Buy,0.0,86453.29599999997,18.2,15.4,H8
93,93,7231502505,2015-03-12,220000.0,2,1.0,780,6000,1.0,0,0,5,6,780.0,0,1923,0,98055,47.4759,-122.208,1080,6000,276940.956,Buy_SRP,33.0289193302892,56940.956000000006,25.9,20.6,H8
94,94,7225000140,2015-02-18,330000.0,4,1.0,1100,5000,1.5,0,0,5,6,1100.0,0,1904,0,98055,47.4868,-122.204,1560,4838,330496.22,Not Buy,0.0,496.21999999997206,0.2,0.2,H8
95,95,7224500010,2014-06-03,253000.0,2,1.75,1220,5000,1.0,0,0,5,7,860.0,360,1921,0,98055,47.4906,-122.204,1120,5000,350579.444,Buy,22.983257229832578,97579.44400000002,38.6,27.8,H8
96,96,5365200040,2014-10-16,235000.0,3,1.0,1270,7153,1.0,0,0,5,6,1270.0,0,1949,0,98055,47.4815,-122.226,1650,7153,358947.454,Buy_SRP,28.462709284627095,123947.45400000003,52.7,34.5,H8
97,97,6623400193,2014-09-03,257000.0,3,1.0,1450,7850,1.5,0,0,5,7,1450.0,0,1910,0,98055,47.4299,-122.199,1360,10400,389072.29,Buy,21.765601217656016,132072.28999999998,51.4,33.9,H8
98,98,7231501610,2014-10-23,327000.0,4,1.0,1620,6000,1.5,0,0,5,7,1620.0,0,1905,0,98055,47.4763,-122.206,1310,6000,417523.524,Buy,0.45662100456621557,90523.52399999998,27.7,21.7,H8
99,99,511700170,2015-05-05,350000.0,4,2.25,1780,10416,1.0,0,0,5,7,1060.0,720,1963,0,98055,47.4414,-122.189,1780,9975,444301.15599999996,Not Buy,0.0,94301.15599999996,26.9,21.2,H8
100,100,3294700421,2015-02-25,389000.0,3,1.5,2030,10075,1.0,0,0,5,7,1080.0,950,1961,0,98055,47.4713,-122.197,2210,10075,486141.206,Not Buy,0.0,97141.206,25.0,20.0,H8
101,101,2143700935,2014-09-03,317000.0,6,3.5,2120,5840,2.0,0,0,5,7,2120.0,0,1979,0,98055,47.4788,-122.227,1860,8000,501203.624,Buy,3.5007610350076157,184203.624,58.1,36.8,H8
102,102,8899210680,2014-09-15,359000.0,3,2.5,2430,7857,2.0,0,0,5,8,1730.0,700,1980,0,98055,47.4546,-122.211,2160,8740,553085.286,Not Buy,0.0,194085.28599999996,54.1,35.1,H8
103,103,1742800030,2014-06-12,578000.0,4,2.5,3140,9225,1.0,0,2,5,9,1770.0,1370,1966,0,98055,47.4904,-122.226,2460,9600,671911.0279999999,Not Buy,0.0,93911.02799999993,16.2,14.0,H8
104,104,1320069249,2014-10-20,192500.0,1,1.0,470,63737,1.0,0,2,5,5,470.0,0,1924,0,98022,47.2163,-121.984,1350,46762,225059.294,Buy,21.090387374461983,32559.293999999994,16.9,14.5,H8
105,105,2420069242,2014-09-25,175000.0,2,1.0,740,3434,1.0,0,0,5,6,740.0,0,1920,0,98022,47.2088,-121.992,1160,6000,270246.548,Buy_SRP,28.263988522238158,95246.54800000001,54.4,35.2,H8
106,106,5595900210,2014-11-19,195000.0,2,1.0,800,5280,1.0,0,0,5,6,800.0,0,1918,0,98022,47.205,-121.995,1240,7670,280288.16000000003,Buy,20.065587210493952,85288.16000000003,43.7,30.4,H8
107,107,6018500120,2015-02-20,210000.0,2,1.0,900,5000,1.0,0,0,5,6,900.0,0,1930,1990,98022,47.2008,-121.995,1150,5000,297024.18,Buy,13.916786226685796,87024.18,41.4,29.3,H8
108,108,5706500140,2014-08-18,205500.0,2,1.0,900,6400,1.0,0,0,5,6,900.0,0,1938,0,98022,47.2113,-121.992,1320,6400,297024.18,Buy,15.761426521828248,91524.18,44.5,30.8,H8
109,109,2420069017,2015-03-24,152900.0,1,1.0,900,4368,1.0,0,0,5,6,900.0,0,1915,1950,98022,47.2107,-121.99,1290,5000,297024.18,Buy_SRP,37.32322197171551,144124.18,94.3,48.5,H8
110,110,2372800145,2014-10-23,219950.0,2,1.0,940,8997,1.0,0,0,5,7,940.0,0,1955,0,98022,47.2005,-121.999,1110,9126,303718.588,Buy,9.83808157409305,83768.58799999999,38.1,27.6,H8
111,111,5437820310,2014-05-23,218000.0,3,1.0,960,9633,1.0,0,0,5,6,960.0,0,1982,0,98022,47.1951,-122.001,1080,8610,307065.792,Buy,10.637425701988112,89065.79200000002,40.9,29.0,H8
112,112,1871400585,2015-04-22,160000.0,2,1.0,1020,13647,1.0,0,0,5,6,1020.0,0,1915,1974,98022,47.2848,-121.927,980,8250,317107.404,Buy_SRP,34.41278950604632,157107.40399999998,98.2,49.5,H8
113,113,7710100083,2015-02-04,225000.0,3,1.0,1020,8437,1.0,0,0,5,6,1020.0,0,1987,0,98022,47.2093,-122.0,1420,8500,317107.404,Buy,7.767985242877639,92107.40399999998,40.9,29.0,H8
114,114,5595900280,2015-03-18,235000.0,3,1.0,1050,7670,1.5,0,0,5,7,1050.0,0,1955,0,98022,47.2046,-121.996,1220,7670,322128.20999999996,Buy,3.668784587005536,87128.20999999996,37.1,27.0,H8
115,115,2372800050,2014-05-21,220000.0,3,1.0,1060,9126,1.0,0,2,5,7,1060.0,0,1956,0,98022,47.201,-121.999,1300,9126,323801.81200000003,Buy,9.81758557081369,103801.81200000003,47.2,32.1,H8
116,116,920069052,2015-04-21,243950.0,2,1.0,1120,35500,1.0,0,0,5,6,1120.0,0,1961,0,98022,47.2411,-122.043,1680,66022,333843.424,Buy,0.0,89893.424,36.8,26.9,H8
117,117,8091600080,2015-01-23,225000.0,3,1.0,1120,8407,1.0,0,0,5,6,1120.0,0,1987,0,98022,47.2051,-122.006,1250,8658,333843.424,Buy,7.767985242877639,108843.424,48.4,32.6,H8
118,118,1645000710,2015-04-10,255000.0,3,1.0,1140,8528,1.0,0,0,5,7,1140.0,0,1967,0,98022,47.2098,-122.004,1140,8112,337190.628,Not Buy,0.0,82190.62800000003,32.2,24.4,H8
119,119,4102000075,2014-05-22,275000.0,1,0.75,1170,14149,1.0,0,0,5,7,880.0,290,1962,0,98022,47.2653,-121.91,1130,24513,342211.434,Not Buy,0.0,67211.43400000001,24.4,19.6,H8
120,120,5602000025,2015-02-26,251000.0,3,2.0,1200,10212,1.5,0,0,5,6,1200.0,0,1949,0,98022,47.206,-121.998,1280,10212,347232.24,Not Buy,0.0,96232.23999999999,38.3,27.7,H8
121,121,5595900316,2015-01-29,231000.0,4,1.0,1220,5120,1.5,0,0,5,6,1220.0,0,1940,0,98022,47.205,-121.996,1540,7670,350579.444,Buy,5.308464849354378,119579.44400000002,51.8,34.1,H8
122,122,2220069196,2014-08-11,253500.0,3,1.0,1220,20400,1.0,0,0,5,6,1220.0,0,1959,0,98022,47.2063,-122.023,1640,53578,350579.444,Not Buy,0.0,97079.44400000002,38.3,27.7,H8
