,level_0,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,median_price,status,x% lower,estimate_profit,estimate_profit%,x%_lower,hypothesis
30,30,8929000170,2014-06-16,357186.0,2,1.75,1210,1040,2.0,0,0,3,8,1210.0,0,2014,0,98029,47.5519,-121.999,1210,1090,560000.0,Buy_SRP,36.21678571428571,202814.0,56.8,36.2,H9
31,31,3052700213,2014-08-29,461100.0,2,2.25,1210,1267,2.0,0,0,3,8,1120.0,90,2010,0,98117,47.6783,-122.376,1360,1349,514950.0,Buy,10.457325953976115,53850.0,11.7,10.5,H9
32,32,9828702336,2015-02-20,610000.0,2,2.0,1210,740,2.0,0,0,3,8,780.0,430,2014,0,98112,47.6206,-122.3,1480,1171,690000.0,Buy,11.594202898550721,80000.0,13.1,11.6,H9
33,33,8929000250,2015-04-13,395000.0,2,1.75,1210,1161,2.0,0,0,3,8,1210.0,0,2014,0,98029,47.5513,-121.998,1700,2285,560000.0,Buy_SRP,29.464285714285708,165000.0,41.8,29.5,H9
34,34,3589500315,2014-09-19,526000.0,3,3.25,1220,1281,2.0,0,0,3,8,930.0,290,2014,0,98105,47.67,-122.317,1303,3810,584500.0,Buy,10.008554319931562,58500.0,11.1,10.0,H9
35,35,2767601750,2014-08-15,500000.0,3,1.5,1220,962,3.0,0,0,3,8,1220.0,0,2014,0,98107,47.674,-122.387,1510,2501,517475.0,Buy,3.376974733078897,17475.0,3.5,3.4,H9
36,36,6821101731,2014-09-30,549000.0,3,2.25,1230,1380,3.0,0,0,3,8,1230.0,0,2013,0,98199,47.6521,-122.4,1760,5664,580000.0,Buy,5.344827586206902,31000.0,5.6,5.3,H9
37,37,3319500317,2014-05-22,380000.0,2,2.5,1230,987,2.0,0,0,3,7,1060.0,170,2011,0,98144,47.6007,-122.305,1290,1328,402300.5,Buy,5.543244415555037,22300.5,5.9,5.5,H9
38,38,741500010,2015-04-24,295000.0,3,2.0,1230,3405,1.0,0,0,3,7,1230.0,0,2010,0,98058,47.438,-122.179,1440,4066,348000.0,Buy,15.22988505747126,53000.0,18.0,15.2,H9
39,39,6821101732,2015-02-19,550000.0,3,2.25,1230,875,3.0,0,0,3,8,1230.0,0,2013,0,98199,47.6521,-122.4,1760,5664,580000.0,Buy,5.1724137931034475,30000.0,5.5,5.2,H9
40,40,3274800460,2014-05-20,387000.0,2,2.25,1230,1280,2.0,0,0,3,8,960.0,270,2012,0,98144,47.5942,-122.298,1130,1357,402300.5,Buy,3.803251549525788,15300.5,4.0,3.8,H9
41,41,6379500216,2014-05-13,450000.0,3,2.75,1250,892,2.0,0,0,3,8,1040.0,210,2010,0,98116,47.5826,-122.387,1250,1296,529500.0,Buy,15.014164305949008,79500.0,17.7,15.0,H9
42,42,2810100007,2015-05-06,419950.0,3,2.25,1250,811,3.0,0,0,3,8,1250.0,0,2014,0,98136,47.5419,-122.388,1250,1232,447000.0,Buy,6.051454138702461,27050.0,6.4,6.1,H9
43,43,9524100050,2014-12-22,360000.0,3,1.75,1255,1113,3.0,0,0,3,8,1255.0,0,2010,0,98103,47.6958,-122.343,1010,1038,516750.0,Buy_SRP,30.333817126269956,156750.0,43.5,30.3,H9
44,44,1796500100,2015-02-11,259000.0,3,1.75,1260,3604,1.0,0,0,3,7,1260.0,0,2012,0,98042,47.3612,-122.103,1430,3767,309000.0,Buy,16.18122977346278,50000.0,19.3,16.2,H9
45,45,880000205,2014-07-29,249000.0,3,2.0,1260,1125,2.0,0,0,3,7,810.0,450,2011,0,98106,47.5262,-122.361,1260,1172,312000.0,Buy,20.192307692307686,63000.0,25.3,20.2,H9
46,46,880000211,2014-08-21,255000.0,3,1.75,1260,1133,2.0,0,0,3,7,810.0,450,2011,0,98106,47.5261,-122.361,1260,1172,312000.0,Buy,18.26923076923077,57000.0,22.4,18.3,H9
47,47,6056100150,2014-06-23,160797.0,3,1.5,1270,2356,2.0,0,0,3,7,1270.0,0,2012,0,98108,47.5671,-122.298,1490,2175,330000.0,Buy_SRP,51.27363636363636,169203.0,105.2,51.3,H9
48,48,2895800640,2014-09-17,239800.0,2,1.75,1290,1493,2.0,0,0,3,8,1290.0,0,2014,0,98106,47.5171,-122.346,1410,1875,312000.0,Buy,23.141025641025635,72200.0,30.1,23.1,H9
49,49,2895800770,2015-04-08,258800.0,2,1.75,1290,1624,2.0,0,0,3,8,1290.0,0,2014,0,98106,47.5171,-122.347,1410,1963,312000.0,Buy,17.051282051282048,53200.0,20.6,17.1,H9
50,50,2626119062,2014-11-12,155000.0,3,1.0,1300,6098,1.0,0,0,3,7,1300.0,0,2013,0,98014,47.7074,-121.364,1300,6849,418000.0,Buy_SRP,62.91866028708134,263000.0,169.7,62.9,H9
51,51,7625703357,2015-02-27,394950.0,2,2.25,1300,2104,2.0,0,0,3,8,1010.0,290,2011,0,98136,47.5477,-122.388,1430,1850,447000.0,Buy,11.644295302013418,52050.0,13.2,11.6,H9
52,52,2768200210,2014-08-25,499000.0,2,2.5,1320,1157,2.0,0,0,3,8,990.0,330,2014,0,98107,47.6689,-122.363,1550,1519,517475.0,Buy,3.570220783612732,18475.0,3.7,3.6,H9
53,53,2768200212,2014-09-11,499950.0,2,2.5,1320,1157,2.0,0,0,3,8,990.0,330,2014,0,98107,47.6689,-122.363,1550,1519,517475.0,Buy,3.3866370356055886,17525.0,3.5,3.4,H9
54,54,9126100765,2014-08-01,455000.0,3,1.75,1320,1014,3.0,0,0,3,9,1320.0,0,2015,0,98122,47.6047,-122.305,1380,1495,526000.0,Buy,13.498098859315588,71000.0,15.6,13.5,H9
55,55,8822901175,2014-12-29,345000.0,3,3.5,1320,1161,3.0,0,0,3,8,1320.0,0,2010,0,98125,47.7162,-122.294,1320,1161,416000.0,Buy,17.067307692307686,71000.0,20.6,17.1,H9
56,56,2461900446,2014-10-23,372000.0,3,2.0,1330,1042,2.0,0,0,3,8,1060.0,270,2014,0,98136,47.5522,-122.382,1440,2428,447000.0,Buy,16.778523489932883,75000.0,20.2,16.8,H9
57,57,7663700973,2014-05-22,321000.0,3,2.25,1347,1292,3.0,0,0,3,7,1347.0,0,2010,0,98125,47.7306,-122.291,1480,1865,416000.0,Buy,22.83653846153846,95000.0,29.6,22.8,H9
58,58,2770602493,2014-11-20,455000.0,2,2.0,1350,1209,3.0,0,0,3,8,1350.0,0,2013,0,98199,47.649,-122.383,1310,982,580000.0,Buy,21.55172413793104,125000.0,27.5,21.6,H9
59,59,8943600360,2015-02-19,299000.0,3,2.25,1350,3582,2.0,0,0,3,8,1350.0,0,2010,0,98031,47.4214,-122.191,1940,3860,300500.0,Buy,0.4991680532445919,1500.0,0.5,0.5,H9
60,60,3278612570,2014-07-24,294000.0,2,2.5,1380,889,2.0,0,0,3,7,1140.0,240,2012,0,98126,47.5441,-122.369,1580,1397,378510.0,Buy,22.327019101212652,84510.0,28.7,22.3,H9
61,61,9126100346,2014-06-17,350000.0,3,2.0,1380,3600,3.0,0,0,3,8,1380.0,0,2015,0,98122,47.6074,-122.305,1480,3600,526000.0,Buy_SRP,33.460076045627375,176000.0,50.3,33.5,H9
62,62,3277801411,2014-11-05,350000.0,3,2.5,1380,1590,2.0,0,0,3,9,1160.0,220,2012,0,98126,47.5444,-122.375,1380,1590,378510.0,Buy,7.532165596681728,28510.0,8.1,7.5,H9
63,63,3278604400,2014-06-02,285000.0,2,2.5,1380,1073,2.0,0,0,3,7,1140.0,240,2011,0,98126,47.5462,-122.369,1580,2036,378510.0,Buy,24.704763414440833,93510.0,32.8,24.7,H9
64,64,6056100165,2014-12-01,175003.0,3,1.5,1390,1882,2.0,0,0,3,7,1390.0,0,2014,0,98108,47.5667,-122.297,1490,2175,330000.0,Buy_SRP,46.96878787878788,154997.0,88.6,47.0,H9
65,65,1760650670,2014-08-12,270000.0,3,2.25,1400,3825,2.0,0,0,3,7,1400.0,0,2012,0,98042,47.3596,-122.082,2110,3825,309000.0,Buy,12.621359223300976,39000.0,14.4,12.6,H9
66,66,2895810200,2014-10-02,265000.0,3,2.5,1400,3368,2.0,0,0,3,7,1400.0,0,2013,0,98146,47.5134,-122.342,1400,4316,271875.0,Buy,2.5287356321839094,6875.0,2.6,2.5,H9
67,67,1760651000,2014-06-13,250000.0,3,2.25,1400,3814,2.0,0,0,3,7,1400.0,0,2012,0,98042,47.3584,-122.083,1610,3814,309000.0,Buy,19.09385113268608,59000.0,23.6,19.1,H9
68,68,3679400484,2014-09-18,295500.0,3,2.5,1410,1332,2.0,0,0,3,7,960.0,450,2014,0,98108,47.5683,-122.314,1410,1343,330000.0,Buy,10.45454545454545,34500.0,11.7,10.5,H9
69,69,2895800750,2015-04-17,274800.0,3,1.75,1410,1988,2.0,0,0,3,8,1410.0,0,2014,0,98106,47.5171,-122.347,1410,1899,312000.0,Buy,11.923076923076925,37200.0,13.5,11.9,H9
70,70,1931300977,2014-05-08,500000.0,3,1.75,1410,1197,3.0,0,0,3,8,1410.0,0,2012,0,98103,47.6558,-122.348,1350,2512,516750.0,Buy,3.241412675374944,16750.0,3.4,3.2,H9
71,71,2770603523,2015-04-22,530000.0,3,2.5,1410,1250,2.0,0,0,3,8,1140.0,270,2010,0,98119,47.6515,-122.375,1720,2825,647475.0,Buy,18.143557666319165,117475.0,22.2,18.1,H9
72,72,2895800710,2014-12-02,267800.0,3,1.75,1410,1899,2.0,0,0,3,8,1410.0,0,2014,0,98106,47.5171,-122.347,1410,1811,312000.0,Buy,14.166666666666671,44200.0,16.5,14.2,H9
73,73,9895000040,2014-07-03,399900.0,2,1.75,1410,1005,1.5,0,0,3,9,900.0,510,2011,0,98027,47.5446,-122.018,1440,1188,580500.0,Buy_SRP,31.11111111111111,180600.0,45.2,31.1,H9
74,74,2895800780,2015-04-01,279800.0,3,1.75,1410,2052,2.0,0,0,3,8,1410.0,0,2014,0,98106,47.5171,-122.347,1410,1988,312000.0,Buy,10.320512820512818,32200.0,11.5,10.3,H9
75,75,8943600720,2014-06-17,286800.0,3,2.5,1413,3600,2.0,0,0,3,8,1413.0,0,2011,0,98031,47.4222,-122.193,2150,3869,300500.0,Buy,4.559068219633944,13700.0,4.8,4.6,H9
76,76,3679400474,2014-11-04,294000.0,3,1.75,1420,1361,2.0,0,0,3,7,960.0,460,2014,0,98108,47.5684,-122.314,1340,1343,330000.0,Buy,10.909090909090914,36000.0,12.2,10.9,H9
77,77,2767601752,2014-07-07,510000.0,3,2.5,1420,1237,3.0,0,0,3,8,1420.0,0,2014,0,98107,47.674,-122.387,1510,2501,517475.0,Buy,1.4445142277404677,7475.0,1.5,1.4,H9
78,78,8946750030,2014-12-18,245000.0,3,2.25,1422,3677,2.0,0,0,3,7,1422.0,0,2012,0,98092,47.3204,-122.178,1677,3677,327000.0,Buy,25.076452599388375,82000.0,33.5,25.1,H9
79,79,7625703354,2014-07-30,384000.0,3,2.25,1430,800,2.0,0,0,3,8,1140.0,290,2011,0,98136,47.5477,-122.388,1430,1387,447000.0,Buy,14.093959731543626,63000.0,16.4,14.1,H9
80,80,100300280,2014-10-20,355000.0,3,2.25,1430,4777,2.0,0,0,3,7,1430.0,0,2010,0,98059,47.4867,-122.152,1639,3854,494995.0,Buy_SRP,28.282103859634944,139995.0,39.4,28.3,H9
81,81,946000295,2014-12-10,469000.0,3,2.25,1440,1362,3.0,0,0,3,7,1440.0,0,2014,0,98117,47.6908,-122.365,1180,2603,514950.0,Buy,8.923196426837555,45950.0,9.8,8.9,H9
82,82,8682320160,2015-02-20,439950.0,2,2.0,1440,4666,1.0,0,0,3,8,1440.0,0,2010,0,98053,47.709,-122.019,1510,4595,615000.0,Buy_SRP,28.463414634146346,175050.0,39.8,28.5,H9
83,83,9542840450,2014-08-11,274000.0,3,1.5,1450,4694,2.0,0,0,3,7,1450.0,0,2011,0,98038,47.3654,-122.021,1870,4198,350000.0,Buy,21.71428571428572,76000.0,27.7,21.7,H9
84,84,9542840340,2015-02-11,275000.0,3,2.25,1450,4040,2.0,0,0,3,7,1450.0,0,2010,0,98038,47.3665,-122.022,1610,4040,350000.0,Buy,21.42857142857143,75000.0,27.3,21.4,H9
85,85,9542840120,2014-07-02,274500.0,3,2.25,1450,4050,2.0,0,0,3,7,1450.0,0,2010,0,98038,47.367,-122.019,1660,3800,350000.0,Buy,21.571428571428577,75500.0,27.5,21.6,H9
86,86,9542830600,2014-11-21,279000.0,3,2.5,1450,4106,2.0,0,0,3,7,1450.0,0,2011,0,98038,47.3655,-122.019,2000,4000,350000.0,Buy,20.285714285714285,71000.0,25.4,20.3,H9
87,87,1459920010,2015-03-23,300000.0,3,2.0,1451,7159,1.0,0,0,3,7,1451.0,0,2010,0,98042,47.3754,-122.163,2303,6126,309000.0,Buy,2.9126213592232997,9000.0,3.0,2.9,H9
88,88,6373000187,2014-09-18,497000.0,3,2.25,1460,1353,2.0,0,0,3,8,1050.0,410,2012,0,98116,47.5774,-122.412,1690,3776,529500.0,Buy,6.137865911237017,32500.0,6.5,6.1,H9
89,89,7203140110,2015-03-24,392137.0,3,2.0,1460,3696,2.0,0,0,3,7,1460.0,0,2010,0,98053,47.6861,-122.013,1720,3631,615000.0,Buy_SRP,36.237886178861785,222863.0,56.8,36.2,H9
90,90,3277801417,2014-05-16,341000.0,3,2.5,1480,1663,2.0,0,0,3,9,1180.0,300,2012,0,98126,47.5443,-122.375,1380,1537,378510.0,Buy,9.909909909909908,37510.0,11.0,9.9,H9
91,91,301402120,2014-06-25,240000.0,3,2.25,1481,2820,2.0,0,0,3,7,1481.0,0,2012,0,98002,47.3457,-122.217,1481,3028,265000.0,Buy,9.433962264150942,25000.0,10.4,9.4,H9
92,92,301402140,2015-02-26,250000.0,3,2.25,1481,2820,2.0,0,0,3,7,1481.0,0,2012,0,98002,47.3457,-122.217,1481,2889,265000.0,Buy,5.660377358490565,15000.0,6.0,5.7,H9
93,93,301400320,2014-07-25,255900.0,3,2.5,1489,3266,2.0,0,0,3,7,1489.0,0,2014,0,98002,47.3452,-122.217,1537,3273,265000.0,Buy,3.433962264150947,9100.0,3.6,3.4,H9
94,94,301400850,2015-02-20,260000.0,3,2.25,1489,2800,2.0,0,0,3,7,1489.0,0,2011,0,98002,47.3452,-122.215,1584,3200,265000.0,Buy,1.8867924528301883,5000.0,1.9,1.9,H9
95,95,1773100980,2014-06-18,309000.0,3,2.25,1490,1294,2.0,0,0,3,7,1220.0,270,2010,0,98106,47.5569,-122.363,1490,1283,312000.0,Buy,0.9615384615384581,3000.0,1.0,1.0,H9
96,96,6056100160,2014-07-28,182568.0,4,1.5,1500,2106,2.0,0,0,3,7,1500.0,0,2014,0,98108,47.5669,-122.297,1490,2175,330000.0,Buy_SRP,44.67636363636364,147432.0,80.8,44.7,H9
97,97,844000965,2014-06-26,224000.0,3,1.75,1500,11968,1.0,0,0,3,6,1500.0,0,2014,0,98010,47.3095,-122.002,1320,11303,460000.0,Buy_SRP,51.304347826086946,236000.0,105.4,51.3,H9
98,98,8682320320,2014-09-16,485000.0,2,2.0,1510,3961,1.0,0,0,3,8,1510.0,0,2010,0,98053,47.709,-122.018,1510,3962,615000.0,Buy,21.138211382113823,130000.0,26.8,21.1,H9
99,99,2770601782,2014-08-01,453000.0,3,2.5,1510,1618,2.5,0,0,3,8,1330.0,180,2011,0,98199,47.6515,-122.384,1350,1397,580000.0,Buy,21.896551724137936,127000.0,28.0,21.9,H9
100,100,8096800260,2015-04-07,272000.0,3,2.5,1528,7616,2.0,0,0,3,7,1528.0,0,2011,0,98030,47.3774,-122.186,1850,7340,298950.0,Buy,9.014885432346542,26950.0,9.9,9.0,H9
101,101,7600065,2014-06-05,465000.0,3,2.25,1530,1245,2.0,0,0,3,9,1050.0,480,2014,0,98122,47.6018,-122.297,1530,2307,526000.0,Buy,11.596958174904948,61000.0,13.1,11.6,H9
102,102,3422059249,2015-02-19,260000.0,4,3.0,1530,8306,2.0,0,0,3,7,1530.0,0,2010,0,98042,47.3528,-122.146,1930,6925,309000.0,Buy,15.857605177993527,49000.0,18.8,15.9,H9
103,103,2619950490,2014-07-12,335000.0,3,2.25,1530,4580,2.0,0,0,3,7,1530.0,0,2011,0,98019,47.7342,-121.968,2110,4094,414500.0,Buy,19.179734620024124,79500.0,23.7,19.2,H9
104,104,6824100029,2014-10-31,474950.0,3,3.0,1530,1568,3.0,0,0,3,8,1530.0,0,2012,0,98117,47.6998,-122.367,1460,1224,514950.0,Buy,7.7677444412078795,40000.0,8.4,7.8,H9
105,105,8929000140,2014-06-23,491234.0,4,2.5,1540,1860,2.0,0,0,3,8,1540.0,0,2014,0,98029,47.5521,-121.999,1210,1090,560000.0,Buy,12.279642857142859,68766.0,14.0,12.3,H9
106,106,9268851630,2014-06-04,520000.0,3,3.25,1540,1487,2.0,0,0,3,8,1540.0,0,2011,0,98027,47.5397,-122.027,1620,1104,580500.0,Buy,10.422049956933677,60500.0,11.6,10.4,H9
107,107,993000136,2014-10-07,449950.0,3,2.25,1540,1270,3.0,0,0,3,7,1540.0,0,2014,0,98103,47.6935,-122.341,1230,1454,516750.0,Buy,12.926947266569911,66800.0,14.8,12.9,H9
108,108,263000255,2014-12-02,375000.0,3,2.25,1540,1561,3.0,0,0,3,8,1540.0,0,2010,0,98103,47.6991,-122.346,1540,1547,516750.0,Buy_SRP,27.43105950653121,141750.0,37.8,27.4,H9
109,109,8929000050,2014-09-04,439990.0,4,2.5,1540,1994,2.0,0,0,3,8,1540.0,0,2014,0,98029,47.5526,-121.999,1540,1689,560000.0,Buy,21.430357142857147,120010.0,27.3,21.4,H9
110,110,8929000090,2014-07-02,484998.0,4,2.5,1540,1870,2.0,0,0,3,8,1540.0,0,2014,0,98029,47.5524,-121.999,1540,1619,560000.0,Buy,13.393214285714283,75002.0,15.5,13.4,H9
111,111,263000253,2015-03-30,380000.0,3,2.25,1550,1485,3.0,0,0,3,8,1550.0,0,2011,0,98103,47.6989,-122.346,1550,1480,516750.0,Buy,26.463473633284952,136750.0,36.0,26.5,H9
112,112,8669160170,2014-05-22,259000.0,3,2.5,1550,3569,2.0,0,0,3,7,1550.0,0,2011,0,98002,47.3528,-122.211,2095,3402,265000.0,Buy,2.264150943396226,6000.0,2.3,2.3,H9
113,113,2770601912,2015-04-02,570000.0,3,3.25,1550,1280,2.0,0,0,3,9,1220.0,330,2013,0,98199,47.6493,-122.384,1550,1579,580000.0,Buy,1.7241379310344862,10000.0,1.8,1.7,H9
114,114,8946750020,2015-05-07,264000.0,3,2.25,1552,3677,2.0,0,0,3,7,1552.0,0,2012,0,98092,47.3205,-122.178,1677,3677,327000.0,Buy,19.266055045871553,63000.0,23.9,19.3,H9
115,115,8946750140,2015-04-30,282000.0,3,2.25,1552,3600,2.0,0,0,3,7,1552.0,0,2012,0,98092,47.3198,-122.178,1677,3600,327000.0,Buy,13.761467889908252,45000.0,16.0,13.8,H9
116,116,9126100815,2014-12-17,500000.0,3,2.0,1560,1156,3.0,0,0,3,8,1560.0,0,2014,0,98122,47.605,-122.304,1560,1728,526000.0,Buy,4.942965779467679,26000.0,5.2,4.9,H9
117,117,9126100814,2014-10-08,515000.0,3,2.0,1560,1020,3.0,0,0,3,8,1560.0,0,2014,0,98122,47.605,-122.304,1560,1728,526000.0,Buy,2.0912547528517123,11000.0,2.1,2.1,H9
118,118,2770601530,2014-08-26,500000.0,2,2.25,1570,1269,2.0,0,0,3,9,1280.0,290,2015,0,98199,47.6514,-122.385,1570,6000,580000.0,Buy,13.793103448275868,80000.0,16.0,13.8,H9
119,119,3862710090,2014-08-26,417000.0,3,2.5,1570,4926,2.0,0,0,3,8,1570.0,0,2014,0,98065,47.5342,-121.842,1800,3202,515000.0,Buy,19.029126213592228,98000.0,23.5,19.0,H9
120,120,7299601870,2015-04-27,299000.0,3,2.5,1572,4000,2.0,0,0,3,8,1572.0,0,2013,0,98092,47.2615,-122.198,1608,5175,327000.0,Buy,8.562691131498468,28000.0,9.4,8.6,H9
121,121,8096800270,2014-07-16,259950.0,3,2.5,1578,7340,2.0,0,0,3,7,1578.0,0,2010,0,98030,47.3771,-122.186,1850,7200,298950.0,Buy,13.045659809332665,39000.0,15.0,13.0,H9
122,122,2770601457,2015-02-10,542300.0,3,2.25,1580,1487,3.0,0,0,3,9,1580.0,0,2013,0,98199,47.6514,-122.386,1600,1525,580000.0,Buy,6.499999999999995,37700.0,7.0,6.5,H9
123,123,9528102993,2014-12-29,495000.0,3,1.5,1580,1228,3.0,0,0,3,8,1580.0,0,2014,0,98115,47.6765,-122.32,1580,3605,523000.0,Buy,5.3537284894837445,28000.0,5.7,5.4,H9
124,124,3278612370,2014-08-11,349900.0,3,2.5,1580,2765,2.0,0,0,3,8,1580.0,0,2011,0,98126,47.5444,-122.369,1580,1820,378510.0,Buy,7.5585849779398195,28610.0,8.2,7.6,H9
